cue_emotion,cue,target_emotion,target_song,target_word,target_face,condition
happy,audio/21_Skank_Down.mp3,happy,audio/5_Get_Lucky.mp3,happy,img/BF34HAS.jpg,congruent
happy,audio/21_Skank_Down.mp3,happy,audio/16_Restless.mp3,happy,img/BM08HAS.jpg,congruent
happy,audio/21_Skank_Down.mp3,sad,audio/7_Here_Today.mp3,sad,img/BF34SAS.jpg,incongruent
happy,audio/21_Skank_Down.mp3,sad,audio/2_Inside.mp3,sad,img/BF08SAS.jpg,incongruent
happy,audio/21_Skank_Down.mp3,angry,audio/13_Motown_Junk.mp3,angry,img/BF34ANS.jpg,incongruent
happy,audio/21_Skank_Down.mp3,angry,audio/2_Incomplete.mp3,angry,img/BM08ANS.jpg,incongruent
happy,audio/26_Make_Light.mp3,happy,audio/5_Get_Lucky.mp3,happy,img/BF34HAS.jpg,congruent
happy,audio/26_Make_Light.mp3,happy,audio/16_Restless.mp3,happy,img/BM08HAS.jpg,congruent
happy,audio/26_Make_Light.mp3,sad,audio/7_Here_Today.mp3,sad,img/BF34SAS.jpg,incongruent
happy,audio/26_Make_Light.mp3,sad,audio/2_Inside.mp3,sad,img/BF08SAS.jpg,incongruent
happy,audio/26_Make_Light.mp3,angry,audio/13_Motown_Junk.mp3,angry,img/BF34ANS.jpg,incongruent
happy,audio/26_Make_Light.mp3,angry,audio/2_Incomplete.mp3,angry,img/BM08ANS.jpg,incongruent
happy,audio/1_Be_Happy.mp3,happy,audio/5_Get_Lucky.mp3,happy,img/BF34HAS.jpg,congruent
happy,audio/1_Be_Happy.mp3,happy,audio/16_Restless.mp3,happy,img/BM08HAS.jpg,congruent
happy,audio/1_Be_Happy.mp3,sad,audio/7_Here_Today.mp3,sad,img/BF34SAS.jpg,incongruent
happy,audio/1_Be_Happy.mp3,sad,audio/2_Inside.mp3,sad,img/BF08SAS.jpg,incongruent
happy,audio/1_Be_Happy.mp3,angry,audio/13_Motown_Junk.mp3,angry,img/BF34ANS.jpg,incongruent
happy,audio/1_Be_Happy.mp3,angry,audio/2_Incomplete.mp3,angry,img/BM08ANS.jpg,incongruent
happy,audio/5_Valerie.mp3,happy,audio/5_Get_Lucky.mp3,happy,img/BF34HAS.jpg,congruent
happy,audio/5_Valerie.mp3,happy,audio/16_Restless.mp3,happy,img/BM08HAS.jpg,congruent
happy,audio/5_Valerie.mp3,sad,audio/7_Here_Today.mp3,sad,img/BF34SAS.jpg,incongruent
happy,audio/5_Valerie.mp3,sad,audio/2_Inside.mp3,sad,img/BF08SAS.jpg,incongruent
happy,audio/5_Valerie.mp3,angry,audio/13_Motown_Junk.mp3,angry,img/BF34ANS.jpg,incongruent
happy,audio/5_Valerie.mp3,angry,audio/2_Incomplete.mp3,angry,img/BM08ANS.jpg,incongruent
sad,audio/2_Loves_Requiem.mp3,happy,audio/5_Get_Lucky.mp3,happy,img/BF34HAS.jpg,incongruent
sad,audio/2_Loves_Requiem.mp3,happy,audio/16_Restless.mp3,happy,img/BM08HAS.jpg,incongruent
sad,audio/2_Loves_Requiem.mp3,sad,audio/7_Here_Today.mp3,sad,img/BF34SAS.jpg,congruent
sad,audio/2_Loves_Requiem.mp3,sad,audio/2_Inside.mp3,sad,img/BF08SAS.jpg,congruent
sad,audio/2_Loves_Requiem.mp3,angry,audio/13_Motown_Junk.mp3,angry,img/BF34ANS.jpg,incongruent
sad,audio/2_Loves_Requiem.mp3,angry,audio/2_Incomplete.mp3,angry,img/BM08ANS.jpg,incongruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,happy,audio/5_Get_Lucky.mp3,happy,img/BF34HAS.jpg,incongruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,happy,audio/16_Restless.mp3,happy,img/BM08HAS.jpg,incongruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,audio/7_Here_Today.mp3,sad,img/BF34SAS.jpg,congruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,audio/2_Inside.mp3,sad,img/BF08SAS.jpg,congruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,angry,audio/13_Motown_Junk.mp3,angry,img/BF34ANS.jpg,incongruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,angry,audio/2_Incomplete.mp3,angry,img/BM08ANS.jpg,incongruent
sad,audio/3_Old_Blacktop.mp3,happy,audio/5_Get_Lucky.mp3,happy,img/BF34HAS.jpg,incongruent
sad,audio/3_Old_Blacktop.mp3,happy,audio/16_Restless.mp3,happy,img/BM08HAS.jpg,incongruent
sad,audio/3_Old_Blacktop.mp3,sad,audio/7_Here_Today.mp3,sad,img/BF34SAS.jpg,congruent
sad,audio/3_Old_Blacktop.mp3,sad,audio/2_Inside.mp3,sad,img/BF08SAS.jpg,congruent
sad,audio/3_Old_Blacktop.mp3,angry,audio/13_Motown_Junk.mp3,angry,img/BF34ANS.jpg,incongruent
sad,audio/3_Old_Blacktop.mp3,angry,audio/2_Incomplete.mp3,angry,img/BM08ANS.jpg,incongruent
sad,audio/12_Skinny_Love.mp3,happy,audio/5_Get_Lucky.mp3,happy,img/BF34HAS.jpg,incongruent
sad,audio/12_Skinny_Love.mp3,happy,audio/16_Restless.mp3,happy,img/BM08HAS.jpg,incongruent
sad,audio/12_Skinny_Love.mp3,sad,audio/7_Here_Today.mp3,sad,img/BF34SAS.jpg,congruent
sad,audio/12_Skinny_Love.mp3,sad,audio/2_Inside.mp3,sad,img/BF08SAS.jpg,congruent
sad,audio/12_Skinny_Love.mp3,angry,audio/13_Motown_Junk.mp3,angry,img/BF34ANS.jpg,incongruent
sad,audio/12_Skinny_Love.mp3,angry,audio/2_Incomplete.mp3,angry,img/BM08ANS.jpg,incongruent