cue_emotion,cue,target_emotion,target,condition
happy,audio/21_Skank_Down.mp3,happy,audio/5_Get_Lucky.mp3,congruent
happy,audio/21_Skank_Down.mp3,happy,audio/16_Restless.mp3,congruent
happy,audio/21_Skank_Down.mp3,sad,audio/7_Here_Today.mp3,incongruent
happy,audio/21_Skank_Down.mp3,sad,audio/2_Inside.mp3,incongruent
happy,audio/21_Skank_Down.mp3,angry,audio/13_Motown_Junk.mp3,incongruent
happy,audio/21_Skank_Down.mp3,angry,audio/2_Incomplete.mp3,incongruent
happy,audio/26_Make_Light.mp3,happy,audio/5_Get_Lucky.mp3,congruent
happy,audio/26_Make_Light.mp3,happy,audio/16_Restless.mp3,congruent
happy,audio/26_Make_Light.mp3,sad,audio/7_Here_Today.mp3,incongruent
happy,audio/26_Make_Light.mp3,sad,audio/2_Inside.mp3,incongruent
happy,audio/26_Make_Light.mp3,angry,audio/13_Motown_Junk.mp3,incongruent
happy,audio/26_Make_Light.mp3,angry,audio/2_Incomplete.mp3,incongruent
happy,audio/1_Be_Happy.mp3,happy,audio/5_Get_Lucky.mp3,congruent
happy,audio/1_Be_Happy.mp3,happy,audio/16_Restless.mp3,congruent
happy,audio/1_Be_Happy.mp3,sad,audio/7_Here_Today.mp3,incongruent
happy,audio/1_Be_Happy.mp3,sad,audio/2_Inside.mp3,incongruent
happy,audio/1_Be_Happy.mp3,angry,audio/13_Motown_Junk.mp3,incongruent
happy,audio/1_Be_Happy.mp3,angry,audio/2_Incomplete.mp3,incongruent
happy,audio/5_Valerie.mp3,happy,audio/5_Get_Lucky.mp3,congruent
happy,audio/5_Valerie.mp3,happy,audio/16_Restless.mp3,congruent
happy,audio/5_Valerie.mp3,sad,audio/7_Here_Today.mp3,incongruent
happy,audio/5_Valerie.mp3,sad,audio/2_Inside.mp3,incongruent
happy,audio/5_Valerie.mp3,angry,audio/13_Motown_Junk.mp3,incongruent
happy,audio/5_Valerie.mp3,angry,audio/2_Incomplete.mp3,incongruent
sad,audio/2_Loves_Requiem.mp3,happy,audio/5_Get_Lucky.mp3,incongruent
sad,audio/2_Loves_Requiem.mp3,happy,audio/16_Restless.mp3,incongruent
sad,audio/2_Loves_Requiem.mp3,sad,audio/7_Here_Today.mp3,congruent
sad,audio/2_Loves_Requiem.mp3,sad,audio/2_Inside.mp3,congruent
sad,audio/2_Loves_Requiem.mp3,angry,audio/13_Motown_Junk.mp3,incongruent
sad,audio/2_Loves_Requiem.mp3,angry,audio/2_Incomplete.mp3,incongruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,happy,audio/5_Get_Lucky.mp3,incongruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,happy,audio/16_Restless.mp3,incongruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,audio/7_Here_Today.mp3,congruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,audio/2_Inside.mp3,congruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,angry,audio/13_Motown_Junk.mp3,incongruent
sad,audio/8_Fire_And_Rain__(LP_Version).mp3,angry,audio/2_Incomplete.mp3,incongruent
sad,audio/3_Old_Blacktop.mp3,happy,audio/5_Get_Lucky.mp3,incongruent
sad,audio/3_Old_Blacktop.mp3,happy,audio/16_Restless.mp3,incongruent
sad,audio/3_Old_Blacktop.mp3,sad,audio/7_Here_Today.mp3,congruent
sad,audio/3_Old_Blacktop.mp3,sad,audio/2_Inside.mp3,congruent
sad,audio/3_Old_Blacktop.mp3,angry,audio/13_Motown_Junk.mp3,incongruent
sad,audio/3_Old_Blacktop.mp3,angry,audio/2_Incomplete.mp3,incongruent
sad,audio/12_Skinny_Love.mp3,happy,audio/5_Get_Lucky.mp3,incongruent
sad,audio/12_Skinny_Love.mp3,happy,audio/16_Restless.mp3,incongruent
sad,audio/12_Skinny_Love.mp3,sad,audio/7_Here_Today.mp3,congruent
sad,audio/12_Skinny_Love.mp3,sad,audio/2_Inside.mp3,congruent
sad,audio/12_Skinny_Love.mp3,angry,audio/13_Motown_Junk.mp3,incongruent
sad,audio/12_Skinny_Love.mp3,angry,audio/2_Incomplete.mp3,incongruent