item,tas_no
I am often confused about what emotion I am feeling,tas_1
It is difficult for me to find the right words for my feelings,tas_2
I have physical sensations that even doctors don’t understand,tas_3
 I am able to describe my feelings easily ,tas_4
I prefer to analyse problems rather than just describe them ,tas_5
"When I am upset, I don’t know if I am sad, frightened, or angry ",tas_6
I am often puzzled by sensations in my body,tas_7
I prefer to just let things happen than to understand why they turned out that way ,tas_8
 I have feelings that I can’t quite identify ,tas_9
Being in touch with emotions is essential ,tas_10
I find it hard to describe how I feel about people,tas_11
People tell me to describe my feelings more ,tas_12
I don’t know what’s going on inside me ,tas_13
 I often don’t know why I am angry ,tas_14
I prefer talking to people about their daily activities rather than their feelings,tas_15
I prefer to watch ‘light’ entertainment shows rather than psychological dramas,tas_16
"It is difficult for me to reveal my innermost feelings, even to someone close",tas_17
"I can feel close to someone, even in moments of silence",tas_18
I find examination of my feelings useful in solving personal problems ,tas_19
Looking for hidden meanings in movies or plays distracts from their enjoyment ,tas_20